party,member,chamber,ticker,type,transaction_date,filing_date,owner,amount,lag_days
D,Thomas R Carper,Senate,MET,P,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,RTN,P,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,GLAD,P,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,SWKS,P,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,CFG,S,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,TCEHY,S,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,MPC,S,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,KNX,S,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,CB,S,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,IRM,S,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,HPQ,S,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,LHX,P,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,APO,P,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,CAG,S,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,GLW,P,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,FITB,S,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,MSFT,S,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,NVO,P,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,PEP,P,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
D,Thomas R Carper,Senate,TSN,P,2020-04-02,2020-05-04,Spouse,"$1,001 - $15,000",32
R,Pat Roberts,Senate,NFLX,P,2020-04-09,2020-05-02,Spouse,"$50,001 - $100,000",23
R,Pat Roberts,Senate,AAPL,P,2020-04-08,2020-05-02,Spouse,"$1,001 - $15,000",24
R,Pat Roberts,Senate,DIS,P,2020-04-07,2020-05-02,Spouse,"$1,001 - $15,000",25
R,Pat Roberts,Senate,TJX,P,2020-04-07,2020-05-02,Spouse,"$1,001 - $15,000",25
R,Pat Roberts,Senate,NFLX,S,2020-04-06,2020-05-02,Spouse,"$100,001 - $250,000",26
R,Pat Roberts,Senate,TJX,S,2020-04-28,2020-05-02,Spouse,"$1,001 - $15,000",4
R,Pat Roberts,Senate,MSFT,P,2020-04-30,2020-05-02,Spouse,"$15,001 - $50,000",2
R,Pat Roberts,Senate,MA,P,2020-04-29,2020-05-02,Spouse,"$15,001 - $50,000",3
R,Pat Roberts,Senate,BYND,P,2020-04-29,2020-05-02,Spouse,"$1,001 - $15,000",3
R,Pat Roberts,Senate,MSFT,P,2020-04-27,2020-05-02,Spouse,"$15,001 - $50,000",5
R,Pat Roberts,Senate,AAPL,P,2020-04-27,2020-05-02,Spouse,"$15,001 - $50,000",5
R,Pat Roberts,Senate,NVDA,S,2020-04-24,2020-05-02,Spouse,"$50,001 - $100,000",8
R,Pat Roberts,Senate,NFLX,S,2020-04-15,2020-05-02,Spouse,"$50,001 - $100,000",17
R,Pat Roberts,Senate,AMZN,S,2020-04-24,2020-05-02,Spouse,"$50,001 - $100,000",8
R,Pat Roberts,Senate,AMZN,P,2020-04-24,2020-05-02,Spouse,"$15,001 - $50,000",8
R,Pat Roberts,Senate,NFLX,S,2020-04-17,2020-05-02,Spouse,"$15,001 - $50,000",15
R,Pat Roberts,Senate,NFLX,P,2020-04-16,2020-05-02,Spouse,"$15,001 - $50,000",16
R,Kelly Loeffler,Senate,PRU,P,2020-03-12,2020-05-01,Spouse,"$15,001 - $50,000",50
R,Kelly Loeffler,Senate,BKNG,S,2020-03-11,2020-05-01,Joint,"$1,001 - $15,000",51
R,Kelly Loeffler,Senate,BKNG,S,2020-03-10,2020-05-01,Joint,"$15,001 - $50,000",52
R,Kelly Loeffler,Senate,CVX,P,2020-03-09,2020-05-01,Spouse,"$100,001 - $250,000",53
R,Kelly Loeffler,Senate,DD,P,2020-03-09,2020-05-01,Spouse,"$1,001 - $15,000",53
R,Kelly Loeffler,Senate,HELE,S,2020-03-06,2020-05-01,Joint,"$50,001 - $100,000",56
R,Kelly Loeffler,Senate,AIZ,S,2020-03-09,2020-05-01,Spouse,"$15,001 - $50,000",53
R,Kelly Loeffler,Senate,EMR,S,2020-03-09,2020-05-01,Spouse,"$1,001 - $15,000",53
R,Kelly Loeffler,Senate,CR,S,2020-03-09,2020-05-01,Spouse,"$15,001 - $50,000",53
R,Kelly Loeffler,Senate,HIG,S,2020-03-09,2020-05-01,Spouse,"$1,001 - $15,000",53
R,Kelly Loeffler,Senate,TJX,S,2020-03-05,2020-05-01,Joint,"$15,001 - $50,000",57
R,Kelly Loeffler,Senate,BKNG,P,2020-03-06,2020-05-01,Joint,"$15,001 - $50,000",56
R,Kelly Loeffler,Senate,AMGN,S,2020-03-04,2020-05-01,Spouse,"$15,001 - $50,000",58
R,Kelly Loeffler,Senate,AIG,S,2020-03-04,2020-05-01,Spouse,"$1,001 - $15,000",58
R,Kelly Loeffler,Senate,PANW,S,2020-03-04,2020-05-01,Spouse,"$1,001 - $15,000",58
R,Kelly Loeffler,Senate,CVX,S,2020-03-04,2020-05-01,Spouse,"$15,001 - $50,000",58
R,Kelly Loeffler,Senate,BP,S,2020-03-04,2020-05-01,Spouse,"$1,001 - $15,000",58
R,Kelly Loeffler,Senate,ROST,S,2020-03-03,2020-05-01,Joint,"$15,001 - $50,000",59
R,Kelly Loeffler,Senate,LULU,S,2020-03-03,2020-05-01,Joint,"$50,001 - $100,000",59
R,Kelly Loeffler,Senate,FB,S,2020-03-03,2020-05-01,Joint,"$50,001 - $100,000",59
R,Kelly Loeffler,Senate,DD,P,2020-03-02,2020-05-01,Spouse,"$50,001 - $100,000",60
R,Kelly Loeffler,Senate,ROST,S,2020-03-02,2020-05-01,Joint,"$15,001 - $50,000",60
R,Kelly Loeffler,Senate,DD,P,2020-02-28,2020-05-01,Spouse,"$15,001 - $50,000",63
R,Kelly Loeffler,Senate,DD,P,2020-02-27,2020-05-01,Spouse,"$100,001 - $250,000",64
R,Kelly Loeffler,Senate,CME,P,2020-02-26,2020-05-01,Joint,"$100,001 - $250,000",65
R,Kelly Loeffler,Senate,NVDA,S,2020-02-26,2020-05-01,Joint,"$15,001 - $50,000",65
R,Kelly Loeffler,Senate,AZO,S,2020-02-26,2020-05-01,Joint,"$15,001 - $50,000",65
R,Kelly Loeffler,Senate,ADP,S,2020-02-26,2020-05-01,Joint,"$50,001 - $100,000",65
R,Kelly Loeffler,Senate,ARNA,S,2020-02-26,2020-05-01,Joint,"$15,001 - $50,000",65
R,Kelly Loeffler,Senate,AMZN,S,2020-02-25,2020-05-01,Joint,"$15,001 - $50,000",66
R,Kelly Loeffler,Senate,CME,P,2020-02-24,2020-05-01,Joint,"$50,001 - $100,000",67
R,Kelly Loeffler,Senate,AMZN,P,2020-02-24,2020-05-01,Joint,"$15,001 - $50,000",67
R,Kelly Loeffler,Senate,NVDA,S,2020-02-24,2020-05-01,Joint,"$15,001 - $50,000",67
R,Kelly Loeffler,Senate,IPHI,S,2020-02-24,2020-05-01,Joint,"$15,001 - $50,000",67
R,Kelly Loeffler,Senate,FB,S,2020-02-24,2020-05-01,Joint,"$15,001 - $50,000",67
R,Kelly Loeffler,Senate,ARNA,S,2020-02-24,2020-05-01,Joint,"$50,001 - $100,000",67
R,Kelly Loeffler,Senate,DD,S,2020-02-21,2020-05-01,Spouse,"$1,001 - $15,000",70
R,Kelly Loeffler,Senate,K,S,2020-02-21,2020-05-01,Spouse,"$1,001 - $15,000",70
R,Kelly Loeffler,Senate,BABA,S,2020-02-21,2020-05-01,Spouse,"$1,001 - $15,000",70
R,Kelly Loeffler,Senate,AIZ,S,2020-02-20,2020-05-01,Spouse,"$1,001 - $15,000",71
R,Kelly Loeffler,Senate,ABBV,S,2020-02-20,2020-05-01,Spouse,"$1,001 - $15,000",71
R,Kelly Loeffler,Senate,DOCU,S,2020-02-20,2020-05-01,Joint,"$100,001 - $250,000",71
R,Kelly Loeffler,Senate,ORCL,P,2020-02-14,2020-05-01,Joint,"$100,001 - $250,000",77
R,Kelly Loeffler,Senate,XOM,S,2020-02-14,2020-05-01,Joint,"$250,001 - $500,000",77
R,Kelly Loeffler,Senate,CTXS,P,2020-02-14,2020-05-01,Joint,"$100,001 - $250,000",77
R,Kelly Loeffler,Senate,FNKO,S,2020-02-10,2020-05-01,Joint,"$50,001 - $100,000",81
R,Kelly Loeffler,Senate,EEFT,S,2020-02-10,2020-05-01,Joint,"$100,001 - $250,000",81
R,Kelly Loeffler,Senate,ORLY,S,2020-02-07,2020-05-01,Joint,"$15,001 - $50,000",84
R,Kelly Loeffler,Senate,FNKO,S,2020-02-07,2020-05-01,Joint,"$50,001 - $100,000",84
R,Kelly Loeffler,Senate,FNKO,S,2020-02-06,2020-05-01,Joint,"$15,001 - $50,000",85
R,Kelly Loeffler,Senate,AZO,S,2020-02-06,2020-05-01,Joint,"$15,001 - $50,000",85
R,Kelly Loeffler,Senate,ARNA,S,2020-02-06,2020-05-01,Joint,"$50,001 - $100,000",85
R,Kelly Loeffler,Senate,TCEHY,S,2020-02-05,2020-05-01,Joint,"$15,001 - $50,000",86
R,Kelly Loeffler,Senate,ROKU,S,2020-02-05,2020-05-01,Joint,"$100,001 - $250,000",86
R,Kelly Loeffler,Senate,FNKO,S,2020-02-05,2020-05-01,Joint,"$15,001 - $50,000",86
R,Kelly Loeffler,Senate,ARNA,S,2020-02-05,2020-05-01,Joint,"$50,001 - $100,000",86
R,Kelly Loeffler,Senate,TCEHY,S,2020-02-04,2020-05-01,Joint,"$15,001 - $50,000",87
R,Kelly Loeffler,Senate,KL,S,2020-02-04,2020-05-01,Joint,"$50,001 - $100,000",87
R,Kelly Loeffler,Senate,CMCSA,S,2020-02-04,2020-05-01,Joint,"$15,001 - $50,000",87
R,Kelly Loeffler,Senate,AZO,S,2020-02-04,2020-05-01,Joint,"$15,001 - $50,000",87
R,Kelly Loeffler,Senate,HON,S,2020-02-03,2020-05-01,Joint,"$100,001 - $250,000",88
R,Kelly Loeffler,Senate,MRK,S,2020-02-05,2020-05-01,Spouse,"$1,001 - $15,000",86
R,Kelly Loeffler,Senate,DFS,S,2020-02-05,2020-05-01,Spouse,"$1,001 - $15,000",86
R,Kelly Loeffler,Senate,DAL,S,2020-02-05,2020-05-01,Spouse,"$1,001 - $15,000",86
R,Kelly Loeffler,Senate,EMR,S,2020-02-05,2020-05-01,Spouse,"$1,001 - $15,000",86
R,Kelly Loeffler,Senate,CAT,S,2020-02-14,2020-05-01,Spouse,"$1,001 - $15,000",77
R,Kelly Loeffler,Senate,AFL,S,2020-02-14,2020-05-01,Spouse,"$1,001 - $15,000",77
R,Kelly Loeffler,Senate,CMCSA,S,2020-01-14,2020-05-01,Spouse,"$1,001 - $15,000",108
R,Kelly Loeffler,Senate,CSCO,S,2020-01-14,2020-05-01,Spouse,"$1,001 - $15,000",108
R,Kelly Loeffler,Senate,GS,S,2020-01-14,2020-05-01,Spouse,"$1,001 - $15,000",108
R,Kelly Loeffler,Senate,CVX,S,2020-01-14,2020-05-01,Spouse,"$1,001 - $15,000",108
R,Kelly Loeffler,Senate,UL,S,2020-01-14,2020-05-01,Spouse,"$1,001 - $15,000",108
R,Kelly Loeffler,Senate,PRU,S,2020-01-08,2020-05-01,Spouse,"$1,001 - $15,000",114
R,Kelly Loeffler,Senate,TJX,S,2020-01-31,2020-05-01,Joint,"$15,001 - $50,000",91
R,Kelly Loeffler,Senate,ROST,S,2020-01-31,2020-05-01,Joint,"$15,001 - $50,000",91
R,Kelly Loeffler,Senate,AZO,S,2020-01-31,2020-05-01,Joint,"$15,001 - $50,000",91
R,Kelly Loeffler,Senate,AZO,S,2020-01-30,2020-05-01,Joint,"$15,001 - $50,000",92
R,Kelly Loeffler,Senate,ROST,S,2020-01-29,2020-05-01,Joint,"$15,001 - $50,000",93
R,Kelly Loeffler,Senate,KEYS,S,2020-01-29,2020-05-01,Joint,"$100,001 - $250,000",93
R,Kelly Loeffler,Senate,CMCSA,S,2020-01-29,2020-05-01,Joint,"$15,001 - $50,000",93
R,Kelly Loeffler,Senate,REZI,S,2020-01-28,2020-05-01,Joint,"$15,001 - $50,000",94
R,Kelly Loeffler,Senate,REZI,S,2020-01-27,2020-05-01,Joint,"$100,001 - $250,000",95
R,Kelly Loeffler,Senate,DFS,P,2020-01-17,2020-05-01,Spouse,"$250,001 - $500,000",105
R,Kelly Loeffler,Senate,REZI,S,2020-01-24,2020-05-01,Joint,"$50,001 - $100,000",98
R,Kelly Loeffler,Senate,PRU,S,2020-01-17,2020-05-01,Spouse,"$100,001 - $250,000",105
R,Kelly Loeffler,Senate,TEX,S,2020-04-13,2020-05-01,Self,"$15,001 - $50,000",18
R,Kelly Loeffler,Senate,TGT,S,2020-04-14,2020-05-01,Self,"$100,001 - $250,000",17
R,Kelly Loeffler,Senate,STT,S,2020-04-14,2020-05-01,Self,"$100,001 - $250,000",17
R,Kelly Loeffler,Senate,SLB,S,2020-04-14,2020-05-01,Self,"$15,001 - $50,000",17
R,Kelly Loeffler,Senate,KHC,S,2020-04-14,2020-05-01,Self,"$100,001 - $250,000",17
R,Kelly Loeffler,Senate,HIG,S,2020-04-14,2020-05-01,Self,"$100,001 - $250,000",17
R,Kelly Loeffler,Senate,DFS,S,2020-04-14,2020-05-01,Self,"$15,001 - $50,000",17
R,Kelly Loeffler,Senate,CL,S,2020-04-14,2020-05-01,Self,"$100,001 - $250,000",17
R,Kelly Loeffler,Senate,CAT,S,2020-04-14,2020-05-01,Self,"$100,001 - $250,000",17
R,Kelly Loeffler,Senate,BMY,S,2020-04-14,2020-05-01,Self,"$100,001 - $250,000",17
R,Kelly Loeffler,Senate,BP,S,2020-04-14,2020-05-01,Self,"$50,001 - $100,000",17
R,Kelly Loeffler,Senate,AMAT,S,2020-04-13,2020-05-01,Self,"$1,001 - $15,000",18
R,Kelly Loeffler,Senate,AA,S,2020-04-13,2020-05-01,Self,"$15,001 - $50,000",18
R,Kelly Loeffler,Senate,UTX,S,2020-04-14,2020-05-01,Spouse,"$100,001 - $250,000",17
R,Kelly Loeffler,Senate,PRU,S,2020-04-14,2020-05-01,Spouse,"$100,001 - $250,000",17
R,Kelly Loeffler,Senate,K,S,2020-04-14,2020-05-01,Spouse,"$100,001 - $250,000",17
R,Kelly Loeffler,Senate,GS,S,2020-04-14,2020-05-01,Spouse,"$100,001 - $250,000",17
R,Kelly Loeffler,Senate,XOM,S,2020-04-14,2020-05-01,Spouse,"$50,001 - $100,000",17
R,Kelly Loeffler,Senate,DD,S,2020-04-14,2020-05-01,Spouse,"$15,001 - $50,000",17
R,Kelly Loeffler,Senate,DOW,S,2020-04-14,2020-05-01,Spouse,"$15,001 - $50,000",17
R,Kelly Loeffler,Senate,DAL,S,2020-04-14,2020-05-01,Spouse,"$50,001 - $100,000",17
R,Kelly Loeffler,Senate,CVS,S,2020-04-14,2020-05-01,Spouse,"$250,001 - $500,000",17
R,Kelly Loeffler,Senate,CTVA,S,2020-04-14,2020-05-01,Spouse,"$15,001 - $50,000",17
R,Kelly Loeffler,Senate,CTSH,S,2020-04-14,2020-05-01,Spouse,"$100,001 - $250,000",17
R,Kelly Loeffler,Senate,CSCO,S,2020-04-14,2020-05-01,Spouse,"$100,001 - $250,000",17
R,Kelly Loeffler,Senate,AIG,S,2020-04-14,2020-05-01,Spouse,"$15,001 - $50,000",17
R,Kelly Loeffler,Senate,MO,S,2020-04-14,2020-05-01,Spouse,"$15,001 - $50,000",17
R,Kelly Loeffler,Senate,AGN,S,2020-04-14,2020-05-01,Spouse,"$250,001 - $500,000",17
R,Kelly Loeffler,Senate,ABBV,S,2020-04-14,2020-05-01,Spouse,"$250,001 - $500,000",17
R,Kelly Loeffler,Senate,AGCO,S,2020-04-07,2020-05-01,Joint,"$50,001 - $100,000",24
R,Kelly Loeffler,Senate,MPC,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,EBAY,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,VZ,S,2020-04-07,2020-05-01,Joint,"$250,001 - $500,000",24
R,Kelly Loeffler,Senate,CTXS,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,PFE,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,AAPL,S,2020-04-07,2020-05-01,Joint,"$250,001 - $500,000",24
R,Kelly Loeffler,Senate,C,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,PRU,S,2020-04-07,2020-05-01,Joint,"$50,001 - $100,000",24
R,Kelly Loeffler,Senate,CSCO,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,WMT,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,PYPL,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,KMI,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,T,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,MDLZ,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,FDX,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,LOW,S,2020-04-07,2020-05-01,Joint,"$250,001 - $500,000",24
R,Kelly Loeffler,Senate,TFC,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,SAP,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,DOCU,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,LMT,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,DIS,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,AMGN,S,2020-04-07,2020-05-01,Joint,"$250,001 - $500,000",24
R,Kelly Loeffler,Senate,BAC,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,STZ,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,JD,S,2020-04-07,2020-05-01,Joint,"$250,001 - $500,000",24
R,Kelly Loeffler,Senate,KEY,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,ORCL,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,DG,S,2020-03-12,2020-05-01,Joint,"$50,001 - $100,000",50
R,Kelly Loeffler,Senate,DG,S,2020-02-28,2020-05-01,Joint,"$50,001 - $100,000",63
R,Kelly Loeffler,Senate,CME,S,2020-02-28,2020-05-01,Joint,"$50,001 - $100,000",63
R,Kelly Loeffler,Senate,FIS,P,2020-02-27,2020-05-01,Joint,"$15,001 - $50,000",64
R,Kelly Loeffler,Senate,WDC,S,2020-04-07,2020-05-01,Spouse,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,VMC,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,UL,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,TRV,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,TRV,S,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,TRV,P,2020-03-31,2020-05-01,Spouse,"$15,001 - $50,000",31
R,Kelly Loeffler,Senate,TJX,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,RTX,P,2020-04-07,2020-05-01,Spouse,"$50,001 - $100,000",24
R,Kelly Loeffler,Senate,PRU,P,2020-04-07,2020-05-01,Spouse,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,PGR,P,2020-04-07,2020-05-01,Spouse,"$1,001 - $15,000",24
R,Kelly Loeffler,Senate,PG,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,PANW,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,NNVC,S,2020-04-07,2020-05-01,Spouse,"$1,001 - $15,000",24
R,Kelly Loeffler,Senate,MRK,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,LLY,P,2020-04-07,2020-05-01,Spouse,"$1,001 - $15,000",24
R,Kelly Loeffler,Senate,KO,P,2020-04-07,2020-05-01,Spouse,"$1,001 - $15,000",24
R,Kelly Loeffler,Senate,K,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,K,S,2020-04-07,2020-05-01,Spouse,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,HIG,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,HIG,S,2020-04-07,2020-05-01,Spouse,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,GS,P,2020-04-07,2020-05-01,Spouse,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,GLNCY,S,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,ETN,P,2020-04-07,2020-05-01,Spouse,"$1,001 - $15,000",24
R,Kelly Loeffler,Senate,EMR,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,EMR,S,2020-04-07,2020-05-01,Spouse,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,DIS,P,2020-04-07,2020-05-01,Spouse,"$50,001 - $100,000",24
R,Kelly Loeffler,Senate,DFS,P,2020-04-07,2020-05-01,Spouse,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,DD,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,DD,S,2020-04-07,2020-05-01,Spouse,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,DAL,P,2020-04-07,2020-05-01,Spouse,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,DAL,S,2020-04-07,2020-05-01,Spouse,"$50,001 - $100,000",24
R,Kelly Loeffler,Senate,CVX,P,2020-04-07,2020-05-01,Spouse,"$50,001 - $100,000",24
R,Kelly Loeffler,Senate,CVX,S,2020-04-07,2020-05-01,Spouse,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,CVS,P,2020-04-07,2020-05-01,Spouse,"$1,001 - $15,000",24
R,Kelly Loeffler,Senate,CTSH,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,CSCO,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,CR,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,CR,S,2020-04-07,2020-05-01,Spouse,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,CMCSA,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,CL,P,2020-04-07,2020-05-01,Spouse,"$1,001 - $15,000",24
R,Kelly Loeffler,Senate,CAT,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,CAH,P,2020-04-07,2020-05-01,Spouse,"$1,001 - $15,000",24
R,Kelly Loeffler,Senate,CAH,S,2020-04-07,2020-05-01,Spouse,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,BP,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,BABA,P,2020-04-07,2020-05-01,Spouse,"$1,001 - $15,000",24
R,Kelly Loeffler,Senate,AMGN,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,AIZ,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,AIZ,S,2020-04-07,2020-05-01,Spouse,"$250,001 - $500,000",24
R,Kelly Loeffler,Senate,AIG,P,2020-04-07,2020-05-01,Spouse,"$50,001 - $100,000",24
R,Kelly Loeffler,Senate,AIG,S,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,AFL,P,2020-04-07,2020-05-01,Spouse,"$50,001 - $100,000",24
R,Kelly Loeffler,Senate,ADM,P,2020-04-07,2020-05-01,Spouse,"$1,001 - $15,000",24
R,Kelly Loeffler,Senate,ADM,S,2020-04-07,2020-05-01,Spouse,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,ABT,P,2020-04-07,2020-05-01,Spouse,"$1,001 - $15,000",24
R,Kelly Loeffler,Senate,ABBV,P,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,HELE,S,2020-04-07,2020-05-01,Joint,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,GOOGL,S,2020-04-07,2020-05-01,Joint,"$250,001 - $500,000",24
R,Kelly Loeffler,Senate,ARNA,S,2020-04-07,2020-05-01,Joint,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,ADP,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,CME,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,COST,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,DG,S,2020-04-07,2020-05-01,Spouse,"$15,001 - $50,000",24
R,Kelly Loeffler,Senate,FIS,S,2020-04-07,2020-05-01,Joint,"$50,001 - $100,000",24
R,Kelly Loeffler,Senate,IPHI,S,2020-04-07,2020-05-01,Joint,"$50,001 - $100,000",24
R,Kelly Loeffler,Senate,MSFT,S,2020-04-07,2020-05-01,Joint,"$250,001 - $500,000",24
R,Kelly Loeffler,Senate,RTX,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,VTR,S,2020-04-07,2020-05-01,Joint,"$100,001 - $250,000",24
R,Kelly Loeffler,Senate,AIG,P,2020-03-27,2020-05-01,Spouse,"$1,001 - $15,000",35
R,Kelly Loeffler,Senate,WDC,P,2020-03-20,2020-05-01,Spouse,"$100,001 - $250,000",42
R,Kelly Loeffler,Senate,K,P,2020-03-20,2020-05-01,Spouse,"$100,001 - $250,000",42
R,Kelly Loeffler,Senate,EMR,P,2020-03-20,2020-05-01,Spouse,"$250,001 - $500,000",42
R,Kelly Loeffler,Senate,CR,P,2020-03-20,2020-05-01,Spouse,"$100,001 - $250,000",42
R,Kelly Loeffler,Senate,CSCO,P,2020-03-20,2020-05-01,Spouse,"$50,001 - $100,000",42
